"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"2539","1.3.70.251","1.3.70",-16.34686635,-71.54880225,"2012-08-21",0,0.0128195759886107,0.0618542269080207,7,"#FFFFB2"
"2540","1.3.69.302","1.3.69",-16.35286286,-71.55076427,"2012-09-10",0,0.012818192076489,0.0614584976964398,7,"#FFFFB2"
"2541","1.3.70.201","1.3.70",-16.34606008,-71.54840835,"2012-09-16",0,0.0128146982269426,0.0614495038453807,7,"#FFFFB2"
"2542","1.3.71.19","1.3.71",-16.34893711,-71.54688426,"2012-08-08",0,0.0128131004369749,0.0611312206163796,7,"#FFFFB2"
"2543","1.3.70.177","1.3.70",-16.34740909,-71.54954016,"2012-08-28",0,0.0128116455409703,0.0614326213284019,7,"#FFFFB2"
"2544","1.3.72.16","1.3.72",-16.3450826,-71.54757236,"2012-08-06",0,0.0128090421521636,0.0617169789156266,7,"#FFFFB2"
"2545","1.3.70.232","1.3.70",-16.34710737,-71.5481718,"2012-08-22",0,0.0128074863131844,0.061649822314165,7,"#FFFFB2"
"2546","1.3.70.69","1.3.70",-16.34920512,-71.55078236,"2016-09-28",0,0.0127975595288229,0.0608526539980694,3,"#FFFFB2"
"2547","1.3.49.184","1.3.49",-16.34812936,-71.54563201,"2018-05-16",0,0.0127941544399315,0.0614283181242867,1,"#FFFFB2"
"2548","1.3.69.192","1.3.69",-16.35459283,-71.55001812,"2012-09-14",0,0.0127923065665278,0.060552586502451,7,"#FFFFB2"
"2549","1.3.69.177","1.3.69",-16.35439377,-71.55125919,"2012-09-13",0,0.0127875769112019,0.060671961722554,7,"#FFFFB2"
"2550","1.3.71.42","1.3.71",-16.34854565,-71.54644804,"2012-09-07",0,0.0127861116055212,0.0620153886639933,7,"#FFFFB2"
"2551","1.3.69.781","1.3.69",-16.35056173,-71.54905638,"2011-12-04",0,0.0127834115034737,0.0611314631674675,8,"#FFFFB2"
"2552","1.3.71.54","1.3.71",-16.34825994,-71.54624149,"2011-10-28",0,0.0127787220674921,0.0618642674254551,8,"#FFFFB2"
"2553","1.3.69.127","1.3.69",-16.35533302,-71.55116798,"2016-09-16",0,0.0127774138226342,0.0607670123774948,3,"#FFFFB2"
"2554","1.3.72.28","1.3.72",-16.34514085,-71.54789864,"2012-08-07",0,0.0127770820944339,0.0615659216566554,7,"#FFFFB2"
"2555","1.3.69.792A","1.3.69",-16.35034148,-71.54895454,"2012-09-17",0,0.012776389116013,0.0609051739273275,7,"#FFFFB2"
"2556","1.3.49.162","1.3.49",-16.34840075,-71.54502982,"2018-05-17",0,0.0127746246206437,0.0605600739575095,1,"#FFFFB2"
"2557","1.3.49.255","1.3.49",-16.34933594,-71.54664694,"2018-05-15",0,0.0127716788926972,0.0603317190438629,1,"#FFFFB2"
"2558","1.3.71.250","1.3.71",-16.34594998,-71.54616277,"2011-11-09",0,0.0127660572441181,0.0616230670638802,8,"#FFFFB2"
"2559","1.3.72.34","1.3.72",-16.34474038,-71.54756098,"2011-10-27",0,0.0127645443631846,0.0608916337090479,8,"#FFFFB2"
"2560","1.3.71.455","1.3.71",-16.34545455,-71.54546382,"2012-08-14",0,0.0127640124521822,0.0621923559222366,7,"#FFFFB2"
"2561","1.3.49.54","1.3.49",-16.3452581,-71.54421395,"2011-10-28",0,0.0127613433896419,0.0611038934167737,8,"#FFFFB2"
"2562","1.3.71.327","1.3.71",-16.34568512,-71.5475389,"2018-05-18",0,0.0127589685724804,0.0612922558640317,1,"#FFFFB2"
"2563","1.3.72.19","1.3.72",-16.34526463,-71.54772032,"2016-09-28",0,0.0127556422970108,0.0616651908350109,3,"#FFFFB2"
"2564","1.3.71.51","1.3.71",-16.34831097,-71.54646205,"2012-08-08",0,0.0127551910721491,0.0618693111279417,7,"#FFFFB2"
"2565","1.3.70.112","1.3.70",-16.34893265,-71.54986181,"2016-09-28",0,0.0127545298088373,0.0596718505575091,3,"#FFFFB2"
"2566","1.3.70.263","1.3.70",-16.34693121,-71.54858566,"2011-12-01",0,0.0127537182584778,0.0616002856484243,8,"#FFFFB2"
"2567","1.3.71.87","1.3.71",-16.34777443,-71.5464589,"2012-08-13",0,0.0127527184835249,0.0612081043748725,7,"#FFFFB2"
