"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"286","1.24.9.9","1.24.9",-16.44198059,-71.58647981,"2005-03-28",1,0.0107014656648215,0.0670565839766887,15,"#FD8D3C"
"287","1.24.10.225","1.24.10",-16.43382472,-71.60009933,"2011-10-31",0,0.0106966677563004,0.067248204282791,9,"#FD8D3C"
"288","1.24.10.120","1.24.10",-16.43230887,-71.59983638,"2010-03-26",0,0.0106415498172469,0.0673423835977657,10,"#FD8D3C"
"289","1.24.10.137","1.24.10",-16.43109511,-71.60086019,"2005-03-10",0,0.0106205128791314,0.0668751388242346,15,"#FD8D3C"
"290","1.24.11.100","1.24.11",-16.4293515,-71.601478,"2010-03-25",0,0.0105788456228709,0.0663088848801131,10,"#FD8D3C"
"291","1.24.11.109","1.24.11",-16.42945834,-71.60158764,"2011-12-01",0,0.0105439290692828,0.0644880904260267,9,"#FD8D3C"
"292","1.24.11.15A","1.24.11",-16.43042762,-71.60112727,"2012-05-11",1,0.0105111096904627,0.0668332939037584,8,"#FD8D3C"
"293","1.24.10.189","1.24.10",-16.43409249,-71.59947547,"2010-03-29",0,0.0105110677393128,0.0653433615889966,10,"#FD8D3C"
"294","1.24.11.15","1.24.11",-16.43042762,-71.60112727,"2012-05-14",0,0.0105110534642699,0.0668330865546644,8,"#FD8D3C"
"295","1.24.11.91","1.24.11",-16.42850481,-71.60128424,"2005-04-17",0,0.0104807131641138,0.0665348868360714,15,"#FD8D3C"
"296","1.24.10.185","1.24.10",-16.43397108,-71.59915346,"2013-12-06",0,0.0104605279970706,0.0639339958287542,7,"#FD8D3C"
"297","1.24.10.97","1.24.10",-16.4311722,-71.59957673,"2013-10-28",0,0.0103845051701831,0.0659603698746524,7,"#FD8D3C"
"298","1.24.11.108","1.24.11",-16.42941114,-71.60162485,"2011-12-01",0,0.0103758581643288,0.0630677715589073,9,"#FD8D3C"
"299","1.24.11.98","1.24.11",-16.42934715,-71.60133084,"2013-11-02",0,0.0103527889065401,0.0657832670620974,7,"#FD8D3C"
"300","1.24.11.9","1.24.11",-16.43034126,-71.60101122,"2010-03-25",0,0.0103388746947073,0.0662919430373154,10,"#FD8D3C"
"301","1.24.10.47","1.24.10",-16.4329208,-71.59938509,"2010-03-26",0,0.0103313096282163,0.0658816577699954,10,"#FD8D3C"
"302","1.24.10.117","1.24.10",-16.43207911,-71.59958237,"2005-03-10",0,0.0103014074452527,0.0659216160468657,15,"#FD8D3C"
"303","1.24.10.42","1.24.10",-16.43252993,-71.59837996,"2013-12-05",0,0.0101856037790152,0.0652407155116103,7,"#FD8D3C"
"304","1.24.11.13","1.24.11",-16.43003398,-71.60147704,"2010-03-25",0,0.0101578285076871,0.0652275977666967,10,"#FD8D3C"
"305","1.24.10.63","1.24.10",-16.43168122,-71.59860044,"2010-03-26",0,0.0101167396571951,0.065137027419044,10,"#FD8D3C"
"306","1.24.10.224","1.24.10",-16.43411708,-71.59981027,"2010-03-29",0,0.0101130513719329,0.0645408542152101,10,"#FD8D3C"
"307","1.24.10.227A","1.24.10",-16.43398884,-71.60035433,"2010-03-29",1,0.0101121378070924,0.064556777574348,10,"#FD8D3C"
"308","1.24.10.169","1.24.10",-16.43253582,-71.60008824,"2005-04-17",0,0.010048817049466,0.0646983464378074,15,"#FD8D3C"
"309","1.24.10.56","1.24.10",-16.43255793,-71.59923142,"2011-10-31",0,0.0100147745188591,0.0646528422250712,9,"#FD8D3C"
"310","1.24.11.97","1.24.11",-16.42916382,-71.60115565,"2013-11-02",0,0.00998803668454972,0.0645401302638176,7,"#FD8D3C"
"311","1.24.10.122","1.24.10",-16.43208039,-71.6000575,"2010-03-26",0,0.00996944434635526,0.0645283565548119,10,"#FD8D3C"
"312","1.24.10.59","1.24.10",-16.43200334,-71.59893524,"2010-12-14",0,0.00996577137327777,0.0647735066205538,10,"#FD8D3C"
"313","1.24.10.7","1.24.10",-16.43344902,-71.59796102,"2010-03-26",1,0.00995874119717908,0.0641193732269195,10,"#FD8D3C"
"314","1.24.10.134","1.24.10",-16.43086101,-71.60156232,"2005-03-18",1,0.00994578196388999,0.0637246875907593,15,"#FD8D3C"
"315","1.24.11.21","1.24.11",-16.42989689,-71.60170242,"2010-03-25",0,0.00984307035657006,0.0633169367996627,10,"#FD8D3C"
"316","1.24.10.127","1.24.10",-16.4315255,-71.60035297,"2010-03-26",0,0.0098186353348926,0.0636950621091857,10,"#FD8D3C"
"317","1.24.10.58","1.24.10",-16.43209226,-71.59907072,"2010-03-29",0,0.0098001904302091,0.0640058118368883,10,"#FD8D3C"
"318","1.24.10.192","1.24.10",-16.43423754,-71.59947852,"2010-03-29",0,0.00973647355287331,0.0615197216971285,10,"#FD8D3C"
"319","1.24.10.54A","1.24.10",-16.43230118,-71.59944025,"2010-03-26",1,0.00973065249213994,0.0634207453476444,10,"#FD8D3C"
"320","1.24.10.54","1.24.10",-16.43230118,-71.59944025,"2010-03-26",0,0.00973059905637795,0.0634205423717267,10,"#FD8D3C"
"321","1.24.10.43","1.24.10",-16.43309159,-71.59881648,"2005-03-09",0,0.00971593891831278,0.0632360115138144,15,"#FD8D3C"
"322","1.24.10.217","1.24.10",-16.43509178,-71.59912023,"2013-12-12",0,0.00970944244845887,0.0621683539525415,7,"#FD8D3C"
"323","1.24.10.93","1.24.10",-16.43155822,-71.59972168,"2010-03-29",0,0.00968707490002309,0.0631277069955891,10,"#FD8D3C"
"324","1.24.11.59","1.24.11",-16.42889263,-71.600363,"2013-11-04",0,0.00966739630952669,0.0630201291561357,7,"#FD8D3C"
"325","1.24.10.158","1.24.10",-16.4325014,-71.60084141,"2013-11-15",0,0.00960854552542721,0.0624913397648898,7,"#FD8D3C"
"326","1.24.10.227","1.24.10",-16.43396394,-71.60027554,"2010-03-29",0,0.00960307245907336,0.0623762382095967,10,"#FD8D3C"
"327","1.24.11.36","1.24.11",-16.42968275,-71.60061979,"2013-11-15",0,0.00953604332381734,0.0625610669015235,7,"#FD8D3C"
"328","1.24.9.10A","1.24.9",-16.44186881,-71.58631886,"2005-03-28",0,0.00952195788057441,0.0618659035531024,15,"#FD8D3C"
"329","1.24.11.22","1.24.11",-16.4296804,-71.60141892,"2011-12-06",0,0.00945025201568618,0.0618846957292953,9,"#FD8D3C"
"330","1.24.11.70","1.24.11",-16.42842394,-71.60116979,"2011-12-02",0,0.00943539908800262,0.0619301563472417,9,"#FD8D3C"
"331","1.24.10.159","1.24.10",-16.43276813,-71.60084785,"2013-11-18",0,0.00943169872607535,0.0616526985544228,7,"#FD8D3C"
"332","1.24.10.18","1.24.10",-16.43349315,-71.59891133,"2013-12-02",0,0.00943147195566057,0.0618566830878865,7,"#FD8D3C"
"333","1.24.11.99","1.24.11",-16.42941023,-71.60139851,"2013-11-02",0,0.00941603913724414,0.0614785889413096,7,"#FD8D3C"
"334","1.24.11.17A","1.24.11",-16.43039225,-71.60134521,"2012-03-13",1,0.0093724823723033,0.0617117636489124,8,"#FD8D3C"
"335","1.24.11.17","1.24.11",-16.43039225,-71.60134521,"2012-03-13",0,0.00937243012673075,0.06171156253386,8,"#FD8D3C"
"336","1.24.11.80","1.24.11",-16.42925124,-71.60073421,"2015-07-08",0,0.00935456952861459,0.0618944197808478,5,"#FD8D3C"
"337","1.24.10.166","1.24.10",-16.4324863,-71.60039292,"2010-03-29",1,0.0093457262451909,0.061503346756438,10,"#FD8D3C"
"338","1.24.10.16","1.24.10",-16.43368153,-71.59896021,"2013-12-10",0,0.00933119603784389,0.0612184398673454,7,"#FD8D3C"
"339","1.24.10.190","1.24.10",-16.43412133,-71.59957679,"2010-03-29",0,0.00932722832203588,0.0605974836046116,10,"#FD8D3C"
"340","1.24.10.174","1.24.10",-16.43352788,-71.59935172,"2005-03-16",0,0.00930266742717234,0.0611303128542588,15,"#FD8D3C"
"341","1.24.10.184","1.24.10",-16.43390364,-71.59919696,"2010-03-29",0,0.00928224228511536,0.0595217964071976,10,"#FD8D3C"
"342","1.24.11.55","1.24.11",-16.42926161,-71.60001216,"2010-03-25",0,0.00921836152314645,0.060774597906137,10,"#FD8D3C"
"343","1.24.9.2A","1.24.9",-16.44217416,-71.58632817,"2010-03-30",0,0.00921291727333897,0.0604613925610291,10,"#FD8D3C"
"344","1.24.10.179","1.24.10",-16.43381131,-71.59979403,"2013-11-25",0,0.00920265747002502,0.060627234899881,7,"#FD8D3C"
"345","1.24.11.90","1.24.11",-16.4286692,-71.60142946,"2011-12-02",0,0.00920154938428478,0.0608884202781813,9,"#FD8D3C"
"346","1.24.10.9","1.24.10",-16.43350959,-71.5982488,"2010-03-26",0,0.00914942537595528,0.0606004874275101,10,"#FD8D3C"
"347","1.24.11.103","1.24.11",-16.42914168,-71.60169413,"2013-11-02",0,0.00913950155070502,0.0594924701197587,7,"#FD8D3C"
"348","1.24.11A.33","1.24.11A",-16.42640864,-71.6067879,"0",1,0.00913236714272067,0.0603158331495399,23,"#FD8D3C"
"349","1.24.11.67","1.24.11",-16.42840733,-71.60090666,"2014-06-17",0,0.00907871268710195,0.0602116015500393,6,"#FD8D3C"
"350","1.24.9.2","1.24.9",-16.44227268,-71.58617628,"2010-03-30",0,0.00907069219610448,0.0598460066521417,10,"#FD8D3C"
"351","1.24.10.92","1.24.10",-16.43169698,-71.59960072,"2013-10-28",0,0.0090679428906108,0.0604570092387865,7,"#FD8D3C"
"352","1.24.11.75","1.24.11",-16.4287695,-71.60082481,"2015-07-08",0,0.00906461680090877,0.0605956324987344,5,"#FD8D3C"
"353","1.24.11.16","1.24.11",-16.43052522,-71.60118398,"2012-05-14",0,0.00902077688568089,0.0601151314068009,8,"#FD8D3C"
"354","1.24.10.181","1.24.10",-16.43395021,-71.59953771,"2013-12-04",0,0.0089868172856507,0.0591603854678785,7,"#FD8D3C"
"355","1.24.10.60","1.24.10",-16.43191292,-71.59879128,"2011-10-29",0,0.00898511517768753,0.0603388507641313,9,"#FD8D3C"
