"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"623","1.24.5.67","1.24.5",-16.43954697,-71.59667737,"2012-04-12",0,0.0579244456690632,0.129396716749849,7,"#FD8D3C"
"624","1.24.5.105","1.24.5",-16.43886857,-71.59555364,"2012-04-12",0,0.0579218972998709,0.128712140380341,7,"#FD8D3C"
"625","1.24.5.493","1.24.5",-16.43678221,-71.59875675,"2012-05-02",0,0.0579217861978679,0.130824120762964,7,"#FD8D3C"
"626","1.24.5.548","1.24.5",-16.4368831,-71.59704585,"2012-05-03",0,0.0579162076593583,0.129703814114074,7,"#FD8D3C"
"627","1.24.6.63","1.24.6",-16.44068585,-71.59429598,"2005-03-10",0,0.057911126557374,0.128970501390203,14,"#FD8D3C"
"628","1.24.5.148","1.24.5",-16.43870491,-71.59714514,"2014-03-07",0,0.0579097040249909,0.12964970167292,5,"#FD8D3C"
"629","1.24.5.367","1.24.5",-16.43875739,-71.59921774,"2010-03-15",0,0.057872382115078,0.129265950309838,9,"#FD8D3C"
"630","1.24.5.62","1.24.5",-16.43994963,-71.59654709,"2015-06-30",0,0.0578652108548052,0.129366556727125,4,"#FD8D3C"
"631","1.24.5.313","1.24.5",-16.43885443,-71.59856943,"2014-03-10",0,0.0578488448267098,0.129411892563221,5,"#FD8D3C"
"632","1.24.5.55","1.24.5",-16.43964932,-71.59635404,"2013-04-05",0,0.0578406891338299,0.128559288672185,6,"#FD8D3C"
"633","1.24.7.14","1.24.7",-16.44101108,-71.59150708,"2015-07-21",0,0.0578168615989489,0.129337569072574,4,"#FD8D3C"
"634","1.24.5.166","1.24.5",-16.43941011,-71.59689904,"2011-11-18",0,0.0578097789623284,0.128512768060406,8,"#FD8D3C"
"635","1.24.5.54","1.24.5",-16.43971449,-71.5963834,"2012-04-09",0,0.0578005046221416,0.128589311580149,7,"#FD8D3C"
"636","1.24.7.34","1.24.7",-16.44020374,-71.59144697,"2012-07-06",0,0.0577985697371017,0.129607787627191,7,"#FD8D3C"
"637","1.24.7.103","1.24.7",-16.43988365,-71.59065687,"2014-03-13",0,0.0577876163474437,0.129779331967664,5,"#FD8D3C"
"638","1.24.7.67","1.24.7",-16.44097497,-71.59116112,"2014-03-14",0,0.0577831704900919,0.129892884955711,5,"#FD8D3C"
"639","1.24.5.174","1.24.5",-16.43903998,-71.59738056,"2015-06-30",0,0.0577807457085246,0.127412486335571,4,"#FD8D3C"
"640","1.24.5.125","1.24.5",-16.43915009,-71.59679006,"2015-04-07",0,0.0577746869376281,0.128891243111849,4,"#FD8D3C"
"641","1.24.5.437","1.24.5",-16.43783005,-71.59772469,"2005-03-29",0,0.0577590628048821,0.129929376829468,14,"#FD8D3C"
"642","1.24.5.66","1.24.5",-16.43973913,-71.59660367,"2014-03-06",0,0.0577364251489707,0.129122899899935,5,"#FD8D3C"
