"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"1482","1.1.3.675","1.1.3",-16.37324034,-71.51476406,"2014-12-02",0,0.0093367698447662,0.0488878944685411,5,"#FFFFB2"
"1483","1.1.34.128","1.1.34",-16.37045823,-71.51373695,"2015-06-18",0,0.00933671257974141,0.049419368701903,4,"#FFFFB2"
"1484","1.1.34.66","1.1.34",-16.37111469,-71.5117007,"2015-05-21",0,0.00933328367574364,0.0493479713385108,4,"#FFFFB2"
"1485","1.1.34.115","1.1.34",-16.37141115,-71.51301938,"2018-02-14",0,0.0093282347385175,0.0495325429558568,1,"#FFFFB2"
"1486","1.1.34.620","1.1.34",-16.37425044,-71.50953237,"2016-12-22",0,0.00932780697235173,0.0491387741568115,3,"#FFFFB2"
"1487","1.1.34.135","1.1.34",-16.37067201,-71.51310706,"2018-02-13",0,0.00932373379619363,0.0496220418747872,1,"#FFFFB2"
"1488","1.1.34.475","1.1.34",-16.372233,-71.50949555,"2015-06-15",0,0.00932058892548076,0.0489365764435774,4,"#FFFFB2"
"1489","1.1.34.325","1.1.34",-16.37044847,-71.50820828,"2017-07-26",0,0.00931297897883003,0.0488629089990922,2,"#FFFFB2"
"1490","1.1.34.47","1.1.34",-16.37174502,-71.51098393,"2015-05-21",0,0.00931030780551263,0.049227964583521,4,"#FFFFB2"
"1491","1.1.3.694B","1.1.3",-16.37382052,-71.51413022,"2015-08-31",0,0.00930925025510522,0.0488492531847843,4,"#FFFFB2"
"1492","1.1.34.221","1.1.34",-16.37109372,-71.51102928,"2014-08-28",0,0.00930910322019512,0.0490839301713826,5,"#FFFFB2"
"1493","1.1.34.324","1.1.34",-16.37036443,-71.50827853,"2015-06-03",0,0.00930407916296996,0.0487950140327226,4,"#FFFFB2"
"1494","1.1.34.192A","1.1.34",-16.37037145,-71.51119969,"2015-05-25",0,0.00930286836218293,0.0490689815776799,4,"#FFFFB2"
"1495","1.1.34.385","1.1.34",-16.37257233,-71.50871946,"2015-08-02",0,0.00929785823058618,0.0491005364964595,4,"#FFFFB2"
"1496","1.1.34.470B","1.1.34",-16.37251419,-71.50978269,"2014-09-18",0,0.00929784145931013,0.0489172127330818,5,"#FFFFB2"
"1497","1.1.34.676","1.1.34",-16.37320605,-71.50859733,"2018-02-28",0,0.00929723854985916,0.0488180836946638,1,"#FFFFB2"
"1498","1.1.34.645A","1.1.34",-16.37437804,-71.5100434,"2018-02-23",0,0.00929237913633255,0.0489606977222993,1,"#FFFFB2"
"1499","1.1.34.619","1.1.34",-16.37420556,-71.50957503,"2015-06-09",0,0.00928698406507581,0.0489439039861259,4,"#FFFFB2"
"1500","1.1.3.702","1.1.3",-16.37413056,-71.51443327,"2015-08-28",0,0.00928639480128198,0.0487902322428487,4,"#FFFFB2"
"1501","1.1.3.694A","1.1.3",-16.37379236,-71.51415384,"2015-08-31",0,0.00928507329425234,0.0487490201901912,4,"#FFFFB2"
