"","X","UNICODE","codeLoc","LATITUDE","LONGITUDE","check","recent_insp","condition","probability","uncertainty","recentinsp","not_sprayed","group_num","order","color"
"977",977,"1.8.5.188","1.8.5",-16.45046331,-71.51169273,0,"2007-06-12",1,0.082797256583508,0.148677957811945,31,0,4,8,"gray"
"978",978,"1.8.5.190","1.8.5",-16.45041496,-71.51187302,0,"2007-06-11",1,0.0789610660414094,0.144011221156599,30,0,4,9,"gray"
"1078",1078,"1.8.5.204","1.8.5",-16.45025072,-71.51155485,0,"2007-06-13",1,0.0777865154731895,0.140266217745689,32,0,4,10,"gray"
"302",302,"1.8.9.28","1.8.9",-16.44978453,-71.51624611,0,NA,0,0.136533890728273,0.197143350768496,8,1,5,1,"blue"
"262",262,"1.8.9.63","1.8.9",-16.44969586,-71.51650539,0,"2007-04-16",2,0.0892935384018682,0.159615594595023,7,0,5,2,"gray"
"264",264,"1.8.9.66","1.8.9",-16.44936681,-71.51664999,0,"2007-04-12",1,0.0862767758033046,0.158917900843477,5,0,5,3,"gray"
"301",301,"1.8.9.27","1.8.9",-16.44970661,-71.51627818,0,"2007-04-10",2,0.0811527679183778,0.145007735709328,3,0,5,4,"gray"
"320",320,"1.8.9.64","1.8.9",-16.44958413,-71.51654228,0,"2007-04-12",2,0.0808585730002187,0.144427376661731,5,0,5,5,"gray"
"263",263,"1.8.9.65","1.8.9",-16.44949934,-71.51658375,0,"2007-04-11",1,0.0793910053615052,0.143436350295003,4,0,5,6,"gray"
"300",300,"1.8.9.26","1.8.9",-16.44963848,-71.51631474,0,"2007-04-17",2,0.0776849232899865,0.138788162810578,8,0,5,7,"gray"
"299",299,"1.8.9.24","1.8.9",-16.44950047,-71.51634468,0,"2007-04-11",2,0.0771310359938626,0.139421851266671,4,0,5,8,"gray"
"209",209,"1.8.9.25","1.8.9",-16.44956373,-71.51635581,0,"2012-11-22",1,0.0766166250786189,0.138141360992414,57,0,5,9,"gray"
